k,cell_type_plot,broad_cluster
2,"CD16+, CD56-dim NK cell",0
2,"CD16-, CD56-bright NK cell",0
2,"CD4+, alpha-beta T cell",0
2,"CD8+, alpha-beta T cell",0
2,"CD8+, alpha-beta mem. T cell",0
2,NK cell,0
2,alpha-beta T cell,0
2,chandelier pvalb GABAergic cortical interneuron,0
2,double negative T regulatory cell,0
2,double negative thymocyte,0
2,"effector CD8+, alpha-beta T cell",0
2,ependymal cell,0
2,exhausted T cell,0
2,fibroblast of cardiac tissue,0
2,intraepithelial lymphocyte,0
2,mature NK T cell,0
2,mature T cell,0
2,mature alpha-beta T cell,0
2,mature gamma-delta T cell,0
2,naive T cell,0
2,"naive thym.-der. CD8+, alpha-beta T cell",0
2,paneth cell,0
2,platelet,0
2,regulatory T cell,0
2,sncg GABAergic cortical interneuron,0
2,CD14+ monocyte,1
2,"CD14-low, CD16+ monocyte",1
2,CD1c+ myeloid dendritic cell,1
2,L2/3-6 IT projecting neuron,1
2,alternatively activated macrophage,1
2,alveolar macrophage,1
2,clas. monocyte,1
2,conventional dendritic cell,1
2,dendritic cell,1
2,elicited macrophage,1
2,glutamatergic neuron,1
2,inflammatory macrophage,1
2,intermediate monocyte,1
2,lung macrophage,1
2,macrophage,1
2,microglial cell,1
2,monocyte,1
2,neuron,1
2,non-classical monocyte,1
2,oligodendrocyte,1
2,oligodendrocyte pre. cell,1
2,plasmacytoid dendritic cell,1
2,cardiac muscle cell,10
2,epith. cell of proximal tubule,10
2,kidney loop Henle thick asc. limb epith. cell,10
2,kidney loop Henle thin asc. limb epith. cell,10
2,kidney loop Henle thin des. limb epith. cell,10
2,IgA plasma cell,11
2,IgG plasma cell,11
2,alveolar type 1 fibroblast cell,11
2,cardiac neuron,11
2,"central mem. CD8+, alpha-beta T cell",12
2,"effector mem. CD8+, alpha-beta T cell",12
2,gamma-delta T cell,12
2,mucosal invariant T cell,12
2,"CD4+, alpha-beta cytotoxic T cell",13
2,"CD8+, alpha-beta cytotoxic T cell",13
2,astrocyte of the cerebral cortex,13
2,"effector mem. CD8+, alpha-beta T cell, term. diff.",13
2,Schwann cell,14
2,caudal ganglionic eminence der. GABAergic cortical interneuron,14
2,respiratory basal cell,14
2,respiratory hillock cell,14
2,alveolar type 2 fibroblast cell,15
2,retinal cone cell,15
2,retinal ganglion cell,15
2,retinal rod cell,15
2,basal cell,16
2,keratinocyte,16
2,myoepithelial cell of mammary gland,16
2,"central mem. CD4+, alpha-beta T cell",17
2,"effector mem. CD4+, alpha-beta T cell",17
2,"naive thym.-der. CD4+, alpha-beta T cell",17
2,leukocyte,18
2,lymphocyte,18
2,lymphoid lineage restricted progenitor cell,18
2,"CD14+, CD16+ monocyte",19
2,"CD14+, CD16- clas. monocyte",19
2,L6b glutamatergic cortical neuron,2
2,astrocyte,2
2,club cell,2
2,"double+, alpha-beta thymocyte",2
2,enterocyte,2
2,enteroendocrine cell,2
2,goblet cell,2
2,intestine goblet cell,2
2,luminal epith. cell of mammary gland,2
2,mesothelial cell,2
2,mucous neck cell,2
2,nasal mucosa goblet cell,2
2,type II pneumocyte,2
2,vip GABAergic cortical interneuron,2
2,foveolar cell of stomach,20
2,pvalb GABAergic cortical interneuron,20
2,lamp5 GABAergic cortical interneuron,21
2,type I pneumocyte,21
2,lung pericyte,22
2,near-project. glutamatergic cortical neuron,22
2,B cell,3
2,class switched mem. B cell,3
2,immature B cell,3
2,mature B cell,3
2,mem. B cell,3
2,naive B cell,3
2,plasma cell,3
2,plasmablast,3
2,pre. B cell,3
2,pro-B cell,3
2,transitional stage B cell,3
2,basal cell of epithelium of trachea,4
2,blood vessel endothelial cell,4
2,capillary endothelial cell,4
2,central nervous sys. macrophage,4
2,corticothalamic-project. glutamatergic cortical neuron,4
2,endothelial cell,4
2,endothelial cell of artery,4
2,endothelial cell of lymphatic vessel,4
2,pulmonary artery endothelial cell,4
2,tracheal goblet cell,4
2,vein endothelial cell,4
2,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",5
2,T follicular helper cell,5
2,T-helper 17 cell,5
2,T-helper 22 cell,5
2,"activated CD4+, alpha-beta T cell",5
2,"activated CD8+, alpha-beta T cell",5
2,amacrine cell,5
2,immature innate lymphoid cell,5
2,kidney interstitial fibroblast,5
2,mem. T cell,5
2,erythroblast,6
2,erythrocyte,6
2,granulocyte,6
2,hematopoietic stem cell,6
2,mast cell,6
2,megakaryocyte-erythroid progenitor cell,6
2,promonocyte,6
2,sst GABAergic cortical interneuron,6
2,CD4+ helper T cell,7
2,"CD4+, alpha-beta mem. T cell",7
2,T cell,7
2,fallopian tube secretory epith. cell,7
2,innate lymphoid cell,7
2,neutrophil,7
2,renal interstitial pericyte,7
2,Bergmann glial cell,8
2,bronchus fibroblast of lung,8
2,kidney collecting duct intercalated cell,8
2,kidney collecting duct principal cell,8
2,kidney connecting tubule epith. cell,8
2,kidney distal convoluted tubule epith. cell,8
2,retina horizontal cell,8
2,ciliated columnar cell of tracheobronchial tree,9
2,enteric smooth muscle cell,9
2,granulosa cell,9
2,pericyte,9
2,smooth muscle cell,9
2,tracheobronchial smooth muscle cell,9
2,vascular assoc. smooth muscle cell,9
