k,cell_type_plot,broad_cluster
6,Bergmann glial cell,0
6,L6b glutamatergic cortical neuron,0
6,Schwann cell,0
6,alveolar type 1 fibroblast cell,0
6,alveolar type 2 fibroblast cell,0
6,astrocyte,0
6,basal cell,0
6,basal cell of epithelium of trachea,0
6,blood vessel endothelial cell,0
6,bronchus fibroblast of lung,0
6,capillary endothelial cell,0
6,cardiac muscle cell,0
6,cardiac neuron,0
6,caudal ganglionic eminence der. GABAergic cortical interneuron,0
6,central nervous sys. macrophage,0
6,ciliated columnar cell of tracheobronchial tree,0
6,club cell,0
6,corticothalamic-project. glutamatergic cortical neuron,0
6,double negative thymocyte,0
6,"double+, alpha-beta thymocyte",0
6,endothelial cell,0
6,endothelial cell of artery,0
6,endothelial cell of lymphatic vessel,0
6,enteric smooth muscle cell,0
6,enterocyte,0
6,enteroendocrine cell,0
6,epith. cell of proximal tubule,0
6,fibroblast of cardiac tissue,0
6,foveolar cell of stomach,0
6,goblet cell,0
6,granulosa cell,0
6,intestine goblet cell,0
6,keratinocyte,0
6,kidney collecting duct intercalated cell,0
6,kidney collecting duct principal cell,0
6,kidney connecting tubule epith. cell,0
6,kidney distal convoluted tubule epith. cell,0
6,kidney loop Henle thick asc. limb epith. cell,0
6,kidney loop Henle thin asc. limb epith. cell,0
6,kidney loop Henle thin des. limb epith. cell,0
6,lamp5 GABAergic cortical interneuron,0
6,luminal epith. cell of mammary gland,0
6,mesothelial cell,0
6,mucous neck cell,0
6,myoepithelial cell of mammary gland,0
6,nasal mucosa goblet cell,0
6,oligodendrocyte,0
6,paneth cell,0
6,pericyte,0
6,pulmonary artery endothelial cell,0
6,pvalb GABAergic cortical interneuron,0
6,respiratory basal cell,0
6,respiratory hillock cell,0
6,retina horizontal cell,0
6,retinal cone cell,0
6,retinal ganglion cell,0
6,retinal rod cell,0
6,smooth muscle cell,0
6,tracheal goblet cell,0
6,tracheobronchial smooth muscle cell,0
6,type I pneumocyte,0
6,type II pneumocyte,0
6,vascular assoc. smooth muscle cell,0
6,vein endothelial cell,0
6,vip GABAergic cortical interneuron,0
6,"CD16+, CD56-dim NK cell",1
6,"CD16-, CD56-bright NK cell",1
6,CD4+ helper T cell,1
6,"CD4+, alpha-beta T cell",1
6,"CD4+, alpha-beta cytotoxic T cell",1
6,"CD4+, alpha-beta mem. T cell",1
6,"CD8+, alpha-beta T cell",1
6,"CD8+, alpha-beta cytotoxic T cell",1
6,"CD8+, alpha-beta mem. T cell",1
6,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
6,NK cell,1
6,T cell,1
6,T follicular helper cell,1
6,T-helper 17 cell,1
6,T-helper 22 cell,1
6,"activated CD4+, alpha-beta T cell",1
6,"activated CD8+, alpha-beta T cell",1
6,alpha-beta T cell,1
6,amacrine cell,1
6,astrocyte of the cerebral cortex,1
6,"central mem. CD4+, alpha-beta T cell",1
6,"central mem. CD8+, alpha-beta T cell",1
6,chandelier pvalb GABAergic cortical interneuron,1
6,double negative T regulatory cell,1
6,"effector CD8+, alpha-beta T cell",1
6,"effector mem. CD4+, alpha-beta T cell",1
6,"effector mem. CD8+, alpha-beta T cell",1
6,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
6,exhausted T cell,1
6,fallopian tube secretory epith. cell,1
6,gamma-delta T cell,1
6,innate lymphoid cell,1
6,intraepithelial lymphocyte,1
6,kidney interstitial fibroblast,1
6,leukocyte,1
6,lymphocyte,1
6,lymphoid lineage restricted progenitor cell,1
6,mature NK T cell,1
6,mature T cell,1
6,mature alpha-beta T cell,1
6,mature gamma-delta T cell,1
6,mem. T cell,1
6,mucosal invariant T cell,1
6,naive T cell,1
6,"naive thym.-der. CD4+, alpha-beta T cell",1
6,"naive thym.-der. CD8+, alpha-beta T cell",1
6,platelet,1
6,regulatory T cell,1
6,renal interstitial pericyte,1
6,sncg GABAergic cortical interneuron,1
6,CD14+ monocyte,2
6,"CD14+, CD16+ monocyte",2
6,"CD14+, CD16- clas. monocyte",2
6,"CD14-low, CD16+ monocyte",2
6,CD1c+ myeloid dendritic cell,2
6,L2/3-6 IT projecting neuron,2
6,alternatively activated macrophage,2
6,alveolar macrophage,2
6,clas. monocyte,2
6,conventional dendritic cell,2
6,dendritic cell,2
6,elicited macrophage,2
6,glutamatergic neuron,2
6,granulocyte,2
6,inflammatory macrophage,2
6,intermediate monocyte,2
6,lung macrophage,2
6,lung pericyte,2
6,macrophage,2
6,microglial cell,2
6,monocyte,2
6,near-project. glutamatergic cortical neuron,2
6,neuron,2
6,neutrophil,2
6,non-classical monocyte,2
6,oligodendrocyte pre. cell,2
6,plasmacytoid dendritic cell,2
6,promonocyte,2
6,sst GABAergic cortical interneuron,2
6,B cell,3
6,IgA plasma cell,3
6,IgG plasma cell,3
6,class switched mem. B cell,3
6,ependymal cell,3
6,erythroblast,3
6,erythrocyte,3
6,hematopoietic stem cell,3
6,immature B cell,3
6,immature innate lymphoid cell,3
6,mast cell,3
6,mature B cell,3
6,megakaryocyte-erythroid progenitor cell,3
6,mem. B cell,3
6,naive B cell,3
6,plasma cell,3
6,plasmablast,3
6,pre. B cell,3
6,pro-B cell,3
6,transitional stage B cell,3
