k,cell_type_plot,broad_cluster
8,Bergmann glial cell,0
8,L6b glutamatergic cortical neuron,0
8,Schwann cell,0
8,alveolar type 1 fibroblast cell,0
8,alveolar type 2 fibroblast cell,0
8,astrocyte,0
8,basal cell,0
8,basal cell of epithelium of trachea,0
8,blood vessel endothelial cell,0
8,bronchus fibroblast of lung,0
8,capillary endothelial cell,0
8,cardiac muscle cell,0
8,cardiac neuron,0
8,caudal ganglionic eminence der. GABAergic cortical interneuron,0
8,central nervous sys. macrophage,0
8,chandelier pvalb GABAergic cortical interneuron,0
8,ciliated columnar cell of tracheobronchial tree,0
8,club cell,0
8,corticothalamic-project. glutamatergic cortical neuron,0
8,double negative thymocyte,0
8,"double+, alpha-beta thymocyte",0
8,endothelial cell,0
8,endothelial cell of artery,0
8,endothelial cell of lymphatic vessel,0
8,enteric smooth muscle cell,0
8,enterocyte,0
8,enteroendocrine cell,0
8,epith. cell of proximal tubule,0
8,fallopian tube secretory epith. cell,0
8,fibroblast of cardiac tissue,0
8,foveolar cell of stomach,0
8,glutamatergic neuron,0
8,goblet cell,0
8,granulosa cell,0
8,intestine goblet cell,0
8,keratinocyte,0
8,kidney collecting duct intercalated cell,0
8,kidney collecting duct principal cell,0
8,kidney connecting tubule epith. cell,0
8,kidney distal convoluted tubule epith. cell,0
8,kidney loop Henle thick asc. limb epith. cell,0
8,kidney loop Henle thin asc. limb epith. cell,0
8,kidney loop Henle thin des. limb epith. cell,0
8,luminal epith. cell of mammary gland,0
8,lung pericyte,0
8,mesothelial cell,0
8,mucous neck cell,0
8,myoepithelial cell of mammary gland,0
8,nasal mucosa goblet cell,0
8,near-project. glutamatergic cortical neuron,0
8,paneth cell,0
8,pericyte,0
8,pulmonary artery endothelial cell,0
8,pvalb GABAergic cortical interneuron,0
8,respiratory basal cell,0
8,respiratory hillock cell,0
8,retina horizontal cell,0
8,retinal cone cell,0
8,retinal ganglion cell,0
8,retinal rod cell,0
8,smooth muscle cell,0
8,sst GABAergic cortical interneuron,0
8,tracheal goblet cell,0
8,tracheobronchial smooth muscle cell,0
8,type I pneumocyte,0
8,type II pneumocyte,0
8,vascular assoc. smooth muscle cell,0
8,vein endothelial cell,0
8,vip GABAergic cortical interneuron,0
8,"CD16+, CD56-dim NK cell",1
8,"CD16-, CD56-bright NK cell",1
8,CD4+ helper T cell,1
8,"CD4+, alpha-beta T cell",1
8,"CD4+, alpha-beta cytotoxic T cell",1
8,"CD4+, alpha-beta mem. T cell",1
8,"CD8+, alpha-beta T cell",1
8,"CD8+, alpha-beta cytotoxic T cell",1
8,"CD8+, alpha-beta mem. T cell",1
8,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
8,NK cell,1
8,T cell,1
8,T follicular helper cell,1
8,T-helper 17 cell,1
8,T-helper 22 cell,1
8,"activated CD4+, alpha-beta T cell",1
8,"activated CD8+, alpha-beta T cell",1
8,alpha-beta T cell,1
8,amacrine cell,1
8,astrocyte of the cerebral cortex,1
8,"central mem. CD4+, alpha-beta T cell",1
8,"central mem. CD8+, alpha-beta T cell",1
8,double negative T regulatory cell,1
8,"effector CD8+, alpha-beta T cell",1
8,"effector mem. CD4+, alpha-beta T cell",1
8,"effector mem. CD8+, alpha-beta T cell",1
8,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
8,exhausted T cell,1
8,gamma-delta T cell,1
8,innate lymphoid cell,1
8,intraepithelial lymphocyte,1
8,kidney interstitial fibroblast,1
8,leukocyte,1
8,lymphocyte,1
8,lymphoid lineage restricted progenitor cell,1
8,mature NK T cell,1
8,mature T cell,1
8,mature alpha-beta T cell,1
8,mature gamma-delta T cell,1
8,mem. T cell,1
8,mucosal invariant T cell,1
8,naive T cell,1
8,"naive thym.-der. CD4+, alpha-beta T cell",1
8,"naive thym.-der. CD8+, alpha-beta T cell",1
8,platelet,1
8,regulatory T cell,1
8,renal interstitial pericyte,1
8,sncg GABAergic cortical interneuron,1
8,CD14+ monocyte,2
8,"CD14+, CD16+ monocyte",2
8,"CD14+, CD16- clas. monocyte",2
8,"CD14-low, CD16+ monocyte",2
8,CD1c+ myeloid dendritic cell,2
8,L2/3-6 IT projecting neuron,2
8,alternatively activated macrophage,2
8,alveolar macrophage,2
8,clas. monocyte,2
8,conventional dendritic cell,2
8,dendritic cell,2
8,elicited macrophage,2
8,granulocyte,2
8,inflammatory macrophage,2
8,intermediate monocyte,2
8,lamp5 GABAergic cortical interneuron,2
8,lung macrophage,2
8,macrophage,2
8,microglial cell,2
8,monocyte,2
8,neuron,2
8,neutrophil,2
8,non-classical monocyte,2
8,oligodendrocyte,2
8,oligodendrocyte pre. cell,2
8,plasmacytoid dendritic cell,2
8,promonocyte,2
8,B cell,3
8,IgA plasma cell,3
8,IgG plasma cell,3
8,class switched mem. B cell,3
8,ependymal cell,3
8,erythroblast,3
8,erythrocyte,3
8,hematopoietic stem cell,3
8,immature B cell,3
8,immature innate lymphoid cell,3
8,mast cell,3
8,mature B cell,3
8,megakaryocyte-erythroid progenitor cell,3
8,mem. B cell,3
8,naive B cell,3
8,plasma cell,3
8,plasmablast,3
8,pre. B cell,3
8,pro-B cell,3
8,transitional stage B cell,3
