source,target,distance,rank
B cell,mem. B cell,0.22675904798949387,1
B cell,naive B cell,0.27026604121244735,3
plasma cell,B cell,0.2702214682105244,1
Bergmann glial cell,elicited macrophage,0.4224125673973028,3
Bergmann glial cell,granulosa cell,0.38555467469270543,2
Bergmann glial cell,kidney distal convoluted tubule epith. cell,0.351056157460935,1
CD14+ monocyte,clas. monocyte,0.2797525484195622,1
CD14+ monocyte,macrophage,0.3282034959243393,3
CD14+ monocyte,monocyte,0.28273658358354026,2
promonocyte,CD14+ monocyte,0.39885269041303406,2
vip GABAergic cortical interneuron,CD14+ monocyte,0.34295915530835563,2
"CD14+, CD16- clas. monocyte","CD14+, CD16+ monocyte",0.29679421261303573,1
goblet cell,"CD14+, CD16+ monocyte",0.38348639553764396,3
"CD14+, CD16+ monocyte",kidney interstitial fibroblast,0.35171846692041386,3
"CD14+, CD16+ monocyte",monocyte,0.3040195445801781,2
"CD14+, CD16- clas. monocyte",clas. monocyte,0.32397446833683785,3
"CD14+, CD16- clas. monocyte",monocyte,0.30027251427320845,2
near-project. glutamatergic cortical neuron,"CD14+, CD16- clas. monocyte",0.33352825423246446,2
promonocyte,"CD14+, CD16- clas. monocyte",0.41849584044564103,3
"CD14-low, CD16+ monocyte",mature NK T cell,0.3727108705365708,2
"CD14-low, CD16+ monocyte",monocyte,0.3608952362606389,1
"CD14-low, CD16+ monocyte",non-classical monocyte,0.39257056075776575,3
oligodendrocyte,"CD14-low, CD16+ monocyte",0.48618675803105194,1
"CD16-, CD56-bright NK cell","CD16+, CD56-dim NK cell",0.30459568217348043,2
"CD16+, CD56-dim NK cell","CD8+, alpha-beta cytotoxic T cell",0.3008743706678396,2
"CD16+, CD56-dim NK cell",NK cell,0.2041820816824922,1
"CD16-, CD56-bright NK cell",NK cell,0.29800172475270037,1
chandelier pvalb GABAergic cortical interneuron,"CD16-, CD56-bright NK cell",0.3527445410200245,1
"CD16-, CD56-bright NK cell",mature NK T cell,0.34664949976520154,3
CD1c+ myeloid dendritic cell,clas. monocyte,0.3627896250339654,3
CD1c+ myeloid dendritic cell,dendritic cell,0.3277865811644617,1
CD1c+ myeloid dendritic cell,macrophage,0.3329064794726636,2
CD4+ helper T cell,"CD4+, alpha-beta T cell",0.17761156307403925,2
"CD4+, alpha-beta mem. T cell",CD4+ helper T cell,0.1815619504692505,1
T cell,CD4+ helper T cell,0.2206687989964421,2
T follicular helper cell,CD4+ helper T cell,0.1866066773416417,3
T-helper 17 cell,CD4+ helper T cell,0.22629098556050242,3
CD4+ helper T cell,innate lymphoid cell,0.12474830979592422,1
naive T cell,CD4+ helper T cell,0.2721022394231377,2
renal interstitial pericyte,CD4+ helper T cell,0.34262401327478575,1
"CD4+, alpha-beta T cell","CD8+, alpha-beta T cell",0.14125097587368662,1
alpha-beta T cell,"CD4+, alpha-beta T cell",0.27361347516102585,2
double negative T regulatory cell,"CD4+, alpha-beta T cell",0.25714232096974543,1
"effector mem. CD4+, alpha-beta T cell","CD4+, alpha-beta T cell",0.25270826146634706,3
mature alpha-beta T cell,"CD4+, alpha-beta T cell",0.25574374057857585,2
naive T cell,"CD4+, alpha-beta T cell",0.24068315511720362,1
"naive thym.-der. CD4+, alpha-beta T cell","CD4+, alpha-beta T cell",0.2031232085878628,2
regulatory T cell,"CD4+, alpha-beta T cell",0.18871756255166594,1
"CD4+, alpha-beta cytotoxic T cell","CD8+, alpha-beta cytotoxic T cell",0.19876052950775558,1
astrocyte of the cerebral cortex,"CD4+, alpha-beta cytotoxic T cell",0.34546663402623334,1
"CD4+, alpha-beta cytotoxic T cell","effector CD8+, alpha-beta T cell",0.266994966963628,3
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell",0.20588760982235677,2
nasal mucosa goblet cell,"CD4+, alpha-beta cytotoxic T cell",0.2748063419264889,2
"CD4+, alpha-beta mem. T cell",innate lymphoid cell,0.24652953865059912,3
"CD4+, alpha-beta mem. T cell","naive thym.-der. CD4+, alpha-beta T cell",0.21979093038670172,2
"CD8+, alpha-beta mem. T cell","CD8+, alpha-beta T cell",0.20988009432005295,3
NK cell,"CD8+, alpha-beta T cell",0.2000630287299946,1
T cell,"CD8+, alpha-beta T cell",0.2497392145522832,3
"activated CD8+, alpha-beta T cell","CD8+, alpha-beta T cell",0.22056052470489163,3
alpha-beta T cell,"CD8+, alpha-beta T cell",0.2620932439378598,1
double negative T regulatory cell,"CD8+, alpha-beta T cell",0.26411834165674897,2
"effector CD8+, alpha-beta T cell","CD8+, alpha-beta T cell",0.1872134982492284,1
exhausted T cell,"CD8+, alpha-beta T cell",0.31623144172046813,1
gamma-delta T cell,"CD8+, alpha-beta T cell",0.228446702216056,3
lymphocyte,"CD8+, alpha-beta T cell",0.3033892889914711,2
mature T cell,"CD8+, alpha-beta T cell",0.2887551191859471,1
mature alpha-beta T cell,"CD8+, alpha-beta T cell",0.23127060468160643,1
mature gamma-delta T cell,"CD8+, alpha-beta T cell",0.27264681578510963,1
myoepithelial cell of mammary gland,"CD8+, alpha-beta T cell",0.3690442119241133,2
"naive thym.-der. CD8+, alpha-beta T cell","CD8+, alpha-beta T cell",0.2507865453912005,3
neuron,"CD8+, alpha-beta T cell",0.3725402804643311,3
tracheobronchial smooth muscle cell,"CD8+, alpha-beta T cell",0.36918506918979765,3
"CD8+, alpha-beta mem. T cell","CD8+, alpha-beta cytotoxic T cell",0.20517166485826566,2
"central mem. CD8+, alpha-beta T cell","CD8+, alpha-beta cytotoxic T cell",0.22492732702889917,3
"CD8+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell, term. diff.",0.18568889573876257,1
