source,target,distance,rank
B cell,mem. B cell,0.22675904798949387,1
B cell,plasma cell,0.2702214682105244,2
B cell,naive B cell,0.27026604121244735,3
B cell,"CD8+, alpha-beta T cell",0.28297859027091643,4
B cell,"CD4+, alpha-beta T cell",0.30172661481970553,5
B cell,innate lymphoid cell,0.3118921828042144,6
B cell,NK cell,0.3309513835814013,7
B cell,IgG plasma cell,0.3351099181397079,8
B cell,dendritic cell,0.33521633530276895,9
B cell,immature B cell,0.33953936960326303,10
Bergmann glial cell,kidney distal convoluted tubule epith. cell,0.351056157460935,1
Bergmann glial cell,granulosa cell,0.38555467469270543,2
Bergmann glial cell,elicited macrophage,0.4224125673973028,3
Bergmann glial cell,macrophage,0.4268314832897162,4
Bergmann glial cell,T cell,0.42889163959985466,5
Bergmann glial cell,double negative thymocyte,0.4291366499869018,6
Bergmann glial cell,vascular assoc. smooth muscle cell,0.4294118826537786,7
Bergmann glial cell,conventional dendritic cell,0.4364798698471559,8
Bergmann glial cell,respiratory hillock cell,0.4374058622192274,9
Bergmann glial cell,NK cell,0.4413531782980181,10
"CD14-low, CD16+ monocyte",monocyte,0.3608952362606389,1
"CD14-low, CD16+ monocyte",mature NK T cell,0.3727108705365708,2
"CD14-low, CD16+ monocyte",non-classical monocyte,0.39257056075776575,3
"CD14-low, CD16+ monocyte",retina horizontal cell,0.4055001772938872,4
"CD14-low, CD16+ monocyte",CD14+ monocyte,0.4077498061328523,5
"CD14-low, CD16+ monocyte","central mem. CD4+, alpha-beta T cell",0.4085152966414116,6
"CD14-low, CD16+ monocyte",mem. B cell,0.4204209318425155,7
"CD14-low, CD16+ monocyte",double negative T regulatory cell,0.42323078468790243,8
"CD14-low, CD16+ monocyte",fibroblast of cardiac tissue,0.4276137271326832,9
"CD14-low, CD16+ monocyte",pre. B cell,0.4279952009770398,10
CD14+ monocyte,clas. monocyte,0.2797525484195622,1
CD14+ monocyte,monocyte,0.28273658358354026,2
CD14+ monocyte,macrophage,0.3282034959243393,3
CD14+ monocyte,mature NK T cell,0.33585586996507244,4
CD14+ monocyte,"CD14+, CD16- clas. monocyte",0.3397962981061299,5
CD14+ monocyte,vip GABAergic cortical interneuron,0.34295915530835563,6
CD14+ monocyte,pericyte,0.3508503588836749,7
CD14+ monocyte,"effector mem. CD8+, alpha-beta T cell",0.35626682934599796,8
CD14+ monocyte,dendritic cell,0.3589665009732914,9
CD14+ monocyte,intermediate monocyte,0.36115237147051027,10
"CD14+, CD16- clas. monocyte","CD14+, CD16+ monocyte",0.29679421261303573,1
"CD14+, CD16- clas. monocyte",monocyte,0.30027251427320845,2
"CD14+, CD16- clas. monocyte",clas. monocyte,0.32397446833683785,3
"CD14+, CD16- clas. monocyte",near-project. glutamatergic cortical neuron,0.33352825423246446,4
"CD14+, CD16- clas. monocyte",CD14+ monocyte,0.3397962981061299,5
"CD14+, CD16- clas. monocyte",macrophage,0.3506684544657972,6
"CD14+, CD16- clas. monocyte",kidney interstitial fibroblast,0.3517823222076275,7
"CD14+, CD16- clas. monocyte",retinal cone cell,0.3620161875526452,8
"CD14+, CD16- clas. monocyte","CD8+, alpha-beta T cell",0.3633684131416238,9
"CD14+, CD16- clas. monocyte",dendritic cell,0.37662527338802254,10
"CD14+, CD16+ monocyte","CD14+, CD16- clas. monocyte",0.29679421261303573,1
"CD14+, CD16+ monocyte",monocyte,0.3040195445801781,2
"CD14+, CD16+ monocyte",kidney interstitial fibroblast,0.35171846692041386,3
"CD14+, CD16+ monocyte",goblet cell,0.38348639553764396,4
"CD14+, CD16+ monocyte",dendritic cell,0.3840316546815854,5
"CD14+, CD16+ monocyte","activated CD4+, alpha-beta T cell",0.39296105552453253,6
"CD14+, CD16+ monocyte",mature alpha-beta T cell,0.3935780012469682,7
"CD14+, CD16+ monocyte",intermediate monocyte,0.3953981934784121,8
"CD14+, CD16+ monocyte",mem. T cell,0.40355303061157477,9
"CD14+, CD16+ monocyte",foveolar cell of stomach,0.4067699171922202,10
"CD16-, CD56-bright NK cell",NK cell,0.29800172475270037,1
"CD16-, CD56-bright NK cell","CD16+, CD56-dim NK cell",0.30459568217348043,2
"CD16-, CD56-bright NK cell",mature NK T cell,0.34664949976520154,3
"CD16-, CD56-bright NK cell",innate lymphoid cell,0.34773796362091525,4
"CD16-, CD56-bright NK cell",naive B cell,0.3490172863380808,5
"CD16-, CD56-bright NK cell",kidney loop Henle thick asc. limb epith. cell,0.35098955137988697,6
"CD16-, CD56-bright NK cell",chandelier pvalb GABAergic cortical interneuron,0.3527445410200245,7
"CD16-, CD56-bright NK cell","effector CD8+, alpha-beta T cell",0.3548165087852877,8
"CD16-, CD56-bright NK cell","effector mem. CD8+, alpha-beta T cell",0.3566621713899081,9
"CD16-, CD56-bright NK cell",vein endothelial cell,0.3581404567746318,10
"CD16+, CD56-dim NK cell",NK cell,0.2041820816824922,1
"CD16+, CD56-dim NK cell","CD8+, alpha-beta cytotoxic T cell",0.3008743706678396,2
"CD16+, CD56-dim NK cell","CD16-, CD56-bright NK cell",0.30459568217348043,3
"CD16+, CD56-dim NK cell","effector CD8+, alpha-beta T cell",0.3046786348524727,4
"CD16+, CD56-dim NK cell",mature NK T cell,0.3108732723233625,5
"CD16+, CD56-dim NK cell",T follicular helper cell,0.3200114170686238,6
"CD16+, CD56-dim NK cell","CD8+, alpha-beta T cell",0.3245537930194269,7
"CD16+, CD56-dim NK cell",IgG plasma cell,0.3246912966303084,8
"CD16+, CD56-dim NK cell","CD8+, alpha-beta mem. T cell",0.32557990204046183,9
"CD16+, CD56-dim NK cell","naive thym.-der. CD4+, alpha-beta T cell",0.340193214420048,10
CD1c+ myeloid dendritic cell,dendritic cell,0.3277865811644617,1
CD1c+ myeloid dendritic cell,macrophage,0.3329064794726636,2
CD1c+ myeloid dendritic cell,clas. monocyte,0.3627896250339654,3
CD1c+ myeloid dendritic cell,conventional dendritic cell,0.3646518988667814,4
CD1c+ myeloid dendritic cell,intermediate monocyte,0.37112807614759924,5
CD1c+ myeloid dendritic cell,CD14+ monocyte,0.37925109993792305,6
CD1c+ myeloid dendritic cell,nasal mucosa goblet cell,0.38386434064728037,7
CD1c+ myeloid dendritic cell,"effector mem. CD4+, alpha-beta T cell",0.3860774124046006,8
