k,cell_type_plot,broad_cluster
4,Bergmann glial cell,0
4,L6b glutamatergic cortical neuron,0
4,Schwann cell,0
4,alveolar type 2 fibroblast cell,0
4,astrocyte,0
4,basal cell,0
4,basal cell of epithelium of trachea,0
4,blood vessel endothelial cell,0
4,bronchus fibroblast of lung,0
4,capillary endothelial cell,0
4,cardiac muscle cell,0
4,caudal ganglionic eminence der. GABAergic cortical interneuron,0
4,central nervous sys. macrophage,0
4,ciliated columnar cell of tracheobronchial tree,0
4,club cell,0
4,corticothalamic-project. glutamatergic cortical neuron,0
4,double negative thymocyte,0
4,"double+, alpha-beta thymocyte",0
4,endothelial cell,0
4,endothelial cell of artery,0
4,endothelial cell of lymphatic vessel,0
4,enteric smooth muscle cell,0
4,enterocyte,0
4,enteroendocrine cell,0
4,epith. cell of proximal tubule,0
4,fibroblast of cardiac tissue,0
4,foveolar cell of stomach,0
4,goblet cell,0
4,granulosa cell,0
4,intestine goblet cell,0
4,keratinocyte,0
4,kidney collecting duct intercalated cell,0
4,kidney collecting duct principal cell,0
4,kidney connecting tubule epith. cell,0
4,kidney distal convoluted tubule epith. cell,0
4,kidney interstitial fibroblast,0
4,kidney loop Henle thick asc. limb epith. cell,0
4,kidney loop Henle thin asc. limb epith. cell,0
4,kidney loop Henle thin des. limb epith. cell,0
4,lamp5 GABAergic cortical interneuron,0
4,luminal epith. cell of mammary gland,0
4,mesothelial cell,0
4,mucous neck cell,0
4,myoepithelial cell of mammary gland,0
4,nasal mucosa goblet cell,0
4,paneth cell,0
4,pericyte,0
4,pvalb GABAergic cortical interneuron,0
4,respiratory basal cell,0
4,respiratory hillock cell,0
4,retina horizontal cell,0
4,retinal cone cell,0
4,retinal ganglion cell,0
4,retinal rod cell,0
4,smooth muscle cell,0
4,tracheal goblet cell,0
4,tracheobronchial smooth muscle cell,0
4,type I pneumocyte,0
4,type II pneumocyte,0
4,vascular assoc. smooth muscle cell,0
4,vein endothelial cell,0
4,vip GABAergic cortical interneuron,0
4,"CD16+, CD56-dim NK cell",1
4,"CD16-, CD56-bright NK cell",1
4,CD4+ helper T cell,1
4,"CD4+, alpha-beta T cell",1
4,"CD4+, alpha-beta cytotoxic T cell",1
4,"CD4+, alpha-beta mem. T cell",1
4,"CD8+, alpha-beta T cell",1
4,"CD8+, alpha-beta cytotoxic T cell",1
4,"CD8+, alpha-beta mem. T cell",1
4,NK cell,1
4,T cell,1
4,alpha-beta T cell,1
4,astrocyte of the cerebral cortex,1
4,"central mem. CD4+, alpha-beta T cell",1
4,"central mem. CD8+, alpha-beta T cell",1
4,chandelier pvalb GABAergic cortical interneuron,1
4,double negative T regulatory cell,1
4,"effector CD8+, alpha-beta T cell",1
4,"effector mem. CD4+, alpha-beta T cell",1
4,"effector mem. CD8+, alpha-beta T cell",1
4,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
4,ependymal cell,1
4,exhausted T cell,1
4,fallopian tube secretory epith. cell,1
4,gamma-delta T cell,1
4,innate lymphoid cell,1
4,intraepithelial lymphocyte,1
4,leukocyte,1
4,lymphocyte,1
4,mature NK T cell,1
4,mature T cell,1
4,mature alpha-beta T cell,1
4,mature gamma-delta T cell,1
4,mucosal invariant T cell,1
4,naive T cell,1
4,"naive thym.-der. CD4+, alpha-beta T cell",1
4,"naive thym.-der. CD8+, alpha-beta T cell",1
4,platelet,1
4,pulmonary artery endothelial cell,1
4,regulatory T cell,1
4,renal interstitial pericyte,1
4,sncg GABAergic cortical interneuron,1
4,CD14+ monocyte,2
4,"CD14+, CD16+ monocyte",2
4,"CD14+, CD16- clas. monocyte",2
4,"CD14-low, CD16+ monocyte",2
4,CD1c+ myeloid dendritic cell,2
4,L2/3-6 IT projecting neuron,2
4,alternatively activated macrophage,2
4,alveolar macrophage,2
4,clas. monocyte,2
4,conventional dendritic cell,2
4,dendritic cell,2
4,elicited macrophage,2
4,glutamatergic neuron,2
4,inflammatory macrophage,2
4,intermediate monocyte,2
4,lung macrophage,2
4,lung pericyte,2
4,macrophage,2
4,microglial cell,2
4,monocyte,2
4,near-project. glutamatergic cortical neuron,2
4,neuron,2
4,neutrophil,2
4,non-classical monocyte,2
4,oligodendrocyte,2
4,oligodendrocyte pre. cell,2
4,plasmacytoid dendritic cell,2
4,B cell,3
4,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",3
4,IgA plasma cell,3
4,IgG plasma cell,3
4,T follicular helper cell,3
4,T-helper 17 cell,3
4,T-helper 22 cell,3
4,"activated CD4+, alpha-beta T cell",3
4,"activated CD8+, alpha-beta T cell",3
4,alveolar type 1 fibroblast cell,3
4,amacrine cell,3
4,cardiac neuron,3
4,class switched mem. B cell,3
4,immature innate lymphoid cell,3
4,mature B cell,3
4,mem. B cell,3
4,mem. T cell,3
4,naive B cell,3
4,plasma cell,3
4,plasmablast,3
4,transitional stage B cell,3
4,erythroblast,4
4,erythrocyte,4
4,granulocyte,4
4,hematopoietic stem cell,4
4,immature B cell,4
4,lymphoid lineage restricted progenitor cell,4
4,mast cell,4
4,megakaryocyte-erythroid progenitor cell,4
4,pre. B cell,4
4,pro-B cell,4
4,promonocyte,4
4,sst GABAergic cortical interneuron,4
