source,target,distance,rank
B cell,mem. B cell,0.22675904798949387,1
B cell,plasma cell,0.2702214682105244,2
B cell,naive B cell,0.27026604121244735,3
B cell,"CD8+, alpha-beta T cell",0.28297859027091643,4
B cell,"CD4+, alpha-beta T cell",0.30172661481970553,5
Bergmann glial cell,kidney distal convoluted tubule epith. cell,0.351056157460935,1
Bergmann glial cell,granulosa cell,0.38555467469270543,2
Bergmann glial cell,elicited macrophage,0.4224125673973028,3
Bergmann glial cell,macrophage,0.4268314832897162,4
Bergmann glial cell,T cell,0.42889163959985466,5
"CD14-low, CD16+ monocyte",monocyte,0.3608952362606389,1
"CD14-low, CD16+ monocyte",mature NK T cell,0.3727108705365708,2
"CD14-low, CD16+ monocyte",non-classical monocyte,0.39257056075776575,3
"CD14-low, CD16+ monocyte",retina horizontal cell,0.4055001772938872,4
"CD14-low, CD16+ monocyte",CD14+ monocyte,0.4077498061328523,5
CD14+ monocyte,clas. monocyte,0.2797525484195622,1
CD14+ monocyte,monocyte,0.28273658358354026,2
CD14+ monocyte,macrophage,0.3282034959243393,3
CD14+ monocyte,mature NK T cell,0.33585586996507244,4
CD14+ monocyte,"CD14+, CD16- clas. monocyte",0.3397962981061299,5
"CD14+, CD16- clas. monocyte","CD14+, CD16+ monocyte",0.29679421261303573,1
"CD14+, CD16- clas. monocyte",monocyte,0.30027251427320845,2
"CD14+, CD16- clas. monocyte",clas. monocyte,0.32397446833683785,3
"CD14+, CD16- clas. monocyte",near-project. glutamatergic cortical neuron,0.33352825423246446,4
"CD14+, CD16- clas. monocyte",CD14+ monocyte,0.3397962981061299,5
"CD14+, CD16+ monocyte","CD14+, CD16- clas. monocyte",0.29679421261303573,1
"CD14+, CD16+ monocyte",monocyte,0.3040195445801781,2
"CD14+, CD16+ monocyte",kidney interstitial fibroblast,0.35171846692041386,3
"CD14+, CD16+ monocyte",goblet cell,0.38348639553764396,4
"CD14+, CD16+ monocyte",dendritic cell,0.3840316546815854,5
"CD16-, CD56-bright NK cell",NK cell,0.29800172475270037,1
"CD16-, CD56-bright NK cell","CD16+, CD56-dim NK cell",0.30459568217348043,2
"CD16-, CD56-bright NK cell",mature NK T cell,0.34664949976520154,3
"CD16-, CD56-bright NK cell",innate lymphoid cell,0.34773796362091525,4
"CD16-, CD56-bright NK cell",naive B cell,0.3490172863380808,5
"CD16+, CD56-dim NK cell",NK cell,0.2041820816824922,1
"CD16+, CD56-dim NK cell","CD8+, alpha-beta cytotoxic T cell",0.3008743706678396,2
"CD16+, CD56-dim NK cell","CD16-, CD56-bright NK cell",0.30459568217348043,3
"CD16+, CD56-dim NK cell","effector CD8+, alpha-beta T cell",0.3046786348524727,4
"CD16+, CD56-dim NK cell",mature NK T cell,0.3108732723233625,5
CD1c+ myeloid dendritic cell,dendritic cell,0.3277865811644617,1
CD1c+ myeloid dendritic cell,macrophage,0.3329064794726636,2
CD1c+ myeloid dendritic cell,clas. monocyte,0.3627896250339654,3
CD1c+ myeloid dendritic cell,conventional dendritic cell,0.3646518988667814,4
CD1c+ myeloid dendritic cell,intermediate monocyte,0.37112807614759924,5
CD4+ helper T cell,innate lymphoid cell,0.12474830979592422,1
CD4+ helper T cell,"CD4+, alpha-beta T cell",0.17761156307403925,2
CD4+ helper T cell,"CD4+, alpha-beta mem. T cell",0.1815619504692505,3
CD4+ helper T cell,T follicular helper cell,0.1866066773416417,4
CD4+ helper T cell,mem. T cell,0.1955290740717298,5
"CD4+, alpha-beta T cell","CD8+, alpha-beta T cell",0.14125097587368662,1
"CD4+, alpha-beta T cell",CD4+ helper T cell,0.17761156307403925,2
"CD4+, alpha-beta T cell",regulatory T cell,0.18871756255166594,3
"CD4+, alpha-beta T cell","naive thym.-der. CD4+, alpha-beta T cell",0.2031232085878628,4
"CD4+, alpha-beta T cell",mem. T cell,0.20445835091118636,5
"CD4+, alpha-beta cytotoxic T cell","CD8+, alpha-beta cytotoxic T cell",0.19876052950775558,1
"CD4+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell",0.20588760982235677,2
"CD4+, alpha-beta cytotoxic T cell","effector CD8+, alpha-beta T cell",0.266994966963628,3
"CD4+, alpha-beta cytotoxic T cell","central mem. CD8+, alpha-beta T cell",0.27364959234687647,4
"CD4+, alpha-beta cytotoxic T cell",nasal mucosa goblet cell,0.2748063419264889,5
"CD4+, alpha-beta mem. T cell",CD4+ helper T cell,0.1815619504692505,1
"CD4+, alpha-beta mem. T cell","naive thym.-der. CD4+, alpha-beta T cell",0.21979093038670172,2
"CD4+, alpha-beta mem. T cell",innate lymphoid cell,0.24652953865059912,3
"CD4+, alpha-beta mem. T cell",regulatory T cell,0.26591959510865015,4
"CD4+, alpha-beta mem. T cell","CD4+, alpha-beta T cell",0.27241563326402585,5
"CD8-alpha-alpha+, lpha-eta intraepith. T cell","activated CD8+, alpha-beta T cell",0.30343720492456105,1
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",mem. T cell,0.31045874234856163,2
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",alpha-beta T cell,0.3252994352760693,3
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",T follicular helper cell,0.35897592172179593,4
"CD8-alpha-alpha+, lpha-eta intraepith. T cell",T cell,0.3675272645932045,5
"CD8+, alpha-beta T cell","CD4+, alpha-beta T cell",0.14125097587368662,1
"CD8+, alpha-beta T cell","effector CD8+, alpha-beta T cell",0.1872134982492284,2
"CD8+, alpha-beta T cell",NK cell,0.2000630287299946,3
"CD8+, alpha-beta T cell","CD8+, alpha-beta mem. T cell",0.20988009432005295,4
"CD8+, alpha-beta T cell","activated CD8+, alpha-beta T cell",0.22056052470489163,5
"CD8+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell, term. diff.",0.18568889573876257,1
"CD8+, alpha-beta cytotoxic T cell","CD4+, alpha-beta cytotoxic T cell",0.19876052950775558,2
"CD8+, alpha-beta cytotoxic T cell","CD8+, alpha-beta mem. T cell",0.20517166485826566,3
"CD8+, alpha-beta cytotoxic T cell","effector mem. CD8+, alpha-beta T cell",0.21812430012941253,4
"CD8+, alpha-beta cytotoxic T cell","central mem. CD8+, alpha-beta T cell",0.22492732702889917,5
