k,cell_type_plot,broad_cluster
20,Bergmann glial cell,0
20,CD14+ monocyte,0
20,"CD14+, CD16+ monocyte",0
20,"CD14+, CD16- clas. monocyte",0
20,"CD14-low, CD16+ monocyte",0
20,CD1c+ myeloid dendritic cell,0
20,L6b glutamatergic cortical neuron,0
20,Schwann cell,0
20,alternatively activated macrophage,0
20,alveolar macrophage,0
20,alveolar type 1 fibroblast cell,0
20,alveolar type 2 fibroblast cell,0
20,astrocyte,0
20,basal cell,0
20,basal cell of epithelium of trachea,0
20,blood vessel endothelial cell,0
20,bronchus fibroblast of lung,0
20,capillary endothelial cell,0
20,cardiac muscle cell,0
20,cardiac neuron,0
20,caudal ganglionic eminence der. GABAergic cortical interneuron,0
20,central nervous sys. macrophage,0
20,chandelier pvalb GABAergic cortical interneuron,0
20,ciliated columnar cell of tracheobronchial tree,0
20,clas. monocyte,0
20,club cell,0
20,conventional dendritic cell,0
20,corticothalamic-project. glutamatergic cortical neuron,0
20,dendritic cell,0
20,double negative thymocyte,0
20,"double+, alpha-beta thymocyte",0
20,elicited macrophage,0
20,endothelial cell,0
20,endothelial cell of artery,0
20,endothelial cell of lymphatic vessel,0
20,enteric smooth muscle cell,0
20,enterocyte,0
20,enteroendocrine cell,0
20,epith. cell of proximal tubule,0
20,fallopian tube secretory epith. cell,0
20,fibroblast of cardiac tissue,0
20,foveolar cell of stomach,0
20,glutamatergic neuron,0
20,goblet cell,0
20,granulocyte,0
20,granulosa cell,0
20,inflammatory macrophage,0
20,intermediate monocyte,0
20,intestine goblet cell,0
20,keratinocyte,0
20,kidney collecting duct intercalated cell,0
20,kidney collecting duct principal cell,0
20,kidney connecting tubule epith. cell,0
20,kidney distal convoluted tubule epith. cell,0
20,kidney interstitial fibroblast,0
20,kidney loop Henle thick asc. limb epith. cell,0
20,kidney loop Henle thin asc. limb epith. cell,0
20,kidney loop Henle thin des. limb epith. cell,0
20,lamp5 GABAergic cortical interneuron,0
20,luminal epith. cell of mammary gland,0
20,lung macrophage,0
20,lung pericyte,0
20,macrophage,0
20,mesothelial cell,0
20,microglial cell,0
20,monocyte,0
20,mucous neck cell,0
20,myoepithelial cell of mammary gland,0
20,nasal mucosa goblet cell,0
20,near-project. glutamatergic cortical neuron,0
20,neuron,0
20,non-classical monocyte,0
20,oligodendrocyte,0
20,oligodendrocyte pre. cell,0
20,paneth cell,0
20,pericyte,0
20,plasmacytoid dendritic cell,0
20,promonocyte,0
20,pulmonary artery endothelial cell,0
20,pvalb GABAergic cortical interneuron,0
20,respiratory basal cell,0
20,respiratory hillock cell,0
20,retina horizontal cell,0
20,retinal cone cell,0
20,retinal ganglion cell,0
20,retinal rod cell,0
20,smooth muscle cell,0
20,sst GABAergic cortical interneuron,0
20,tracheal goblet cell,0
20,tracheobronchial smooth muscle cell,0
20,type I pneumocyte,0
20,type II pneumocyte,0
20,vascular assoc. smooth muscle cell,0
20,vein endothelial cell,0
20,vip GABAergic cortical interneuron,0
20,B cell,1
20,"CD16+, CD56-dim NK cell",1
20,"CD16-, CD56-bright NK cell",1
20,CD4+ helper T cell,1
20,"CD4+, alpha-beta T cell",1
20,"CD4+, alpha-beta cytotoxic T cell",1
20,"CD4+, alpha-beta mem. T cell",1
20,"CD8+, alpha-beta T cell",1
20,"CD8+, alpha-beta cytotoxic T cell",1
20,"CD8+, alpha-beta mem. T cell",1
20,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
20,IgA plasma cell,1
20,IgG plasma cell,1
20,L2/3-6 IT projecting neuron,1
20,NK cell,1
20,T cell,1
20,T follicular helper cell,1
20,T-helper 17 cell,1
20,T-helper 22 cell,1
20,"activated CD4+, alpha-beta T cell",1
20,"activated CD8+, alpha-beta T cell",1
20,alpha-beta T cell,1
20,amacrine cell,1
20,astrocyte of the cerebral cortex,1
20,"central mem. CD4+, alpha-beta T cell",1
20,"central mem. CD8+, alpha-beta T cell",1
20,class switched mem. B cell,1
20,double negative T regulatory cell,1
20,"effector CD8+, alpha-beta T cell",1
20,"effector mem. CD4+, alpha-beta T cell",1
20,"effector mem. CD8+, alpha-beta T cell",1
20,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
20,ependymal cell,1
20,erythroblast,1
20,erythrocyte,1
20,exhausted T cell,1
20,gamma-delta T cell,1
20,hematopoietic stem cell,1
20,immature B cell,1
20,immature innate lymphoid cell,1
20,innate lymphoid cell,1
20,intraepithelial lymphocyte,1
20,leukocyte,1
20,lymphocyte,1
20,lymphoid lineage restricted progenitor cell,1
20,mast cell,1
20,mature B cell,1
20,mature NK T cell,1
20,mature T cell,1
20,mature alpha-beta T cell,1
20,mature gamma-delta T cell,1
20,megakaryocyte-erythroid progenitor cell,1
20,mem. B cell,1
20,mem. T cell,1
20,mucosal invariant T cell,1
20,naive B cell,1
20,naive T cell,1
20,"naive thym.-der. CD4+, alpha-beta T cell",1
20,"naive thym.-der. CD8+, alpha-beta T cell",1
20,neutrophil,1
20,plasma cell,1
20,plasmablast,1
20,platelet,1
20,pre. B cell,1
20,pro-B cell,1
20,regulatory T cell,1
20,renal interstitial pericyte,1
20,sncg GABAergic cortical interneuron,1
20,transitional stage B cell,1
