k,cell_type_plot,broad_cluster
10,Bergmann glial cell,0
10,L6b glutamatergic cortical neuron,0
10,Schwann cell,0
10,alveolar type 1 fibroblast cell,0
10,alveolar type 2 fibroblast cell,0
10,astrocyte,0
10,basal cell,0
10,basal cell of epithelium of trachea,0
10,blood vessel endothelial cell,0
10,bronchus fibroblast of lung,0
10,capillary endothelial cell,0
10,cardiac muscle cell,0
10,cardiac neuron,0
10,caudal ganglionic eminence der. GABAergic cortical interneuron,0
10,central nervous sys. macrophage,0
10,chandelier pvalb GABAergic cortical interneuron,0
10,ciliated columnar cell of tracheobronchial tree,0
10,club cell,0
10,corticothalamic-project. glutamatergic cortical neuron,0
10,double negative thymocyte,0
10,"double+, alpha-beta thymocyte",0
10,endothelial cell,0
10,endothelial cell of artery,0
10,endothelial cell of lymphatic vessel,0
10,enteric smooth muscle cell,0
10,enterocyte,0
10,enteroendocrine cell,0
10,epith. cell of proximal tubule,0
10,fibroblast of cardiac tissue,0
10,foveolar cell of stomach,0
10,glutamatergic neuron,0
10,goblet cell,0
10,granulosa cell,0
10,intestine goblet cell,0
10,keratinocyte,0
10,kidney collecting duct intercalated cell,0
10,kidney collecting duct principal cell,0
10,kidney connecting tubule epith. cell,0
10,kidney distal convoluted tubule epith. cell,0
10,kidney loop Henle thick asc. limb epith. cell,0
10,kidney loop Henle thin asc. limb epith. cell,0
10,kidney loop Henle thin des. limb epith. cell,0
10,lamp5 GABAergic cortical interneuron,0
10,luminal epith. cell of mammary gland,0
10,lung pericyte,0
10,mesothelial cell,0
10,mucous neck cell,0
10,myoepithelial cell of mammary gland,0
10,nasal mucosa goblet cell,0
10,near-project. glutamatergic cortical neuron,0
10,oligodendrocyte,0
10,paneth cell,0
10,pericyte,0
10,pulmonary artery endothelial cell,0
10,pvalb GABAergic cortical interneuron,0
10,respiratory basal cell,0
10,respiratory hillock cell,0
10,retina horizontal cell,0
10,retinal cone cell,0
10,retinal ganglion cell,0
10,retinal rod cell,0
10,smooth muscle cell,0
10,tracheal goblet cell,0
10,tracheobronchial smooth muscle cell,0
10,type I pneumocyte,0
10,type II pneumocyte,0
10,vascular assoc. smooth muscle cell,0
10,vein endothelial cell,0
10,vip GABAergic cortical interneuron,0
10,"CD16+, CD56-dim NK cell",1
10,"CD16-, CD56-bright NK cell",1
10,CD4+ helper T cell,1
10,"CD4+, alpha-beta T cell",1
10,"CD4+, alpha-beta cytotoxic T cell",1
10,"CD4+, alpha-beta mem. T cell",1
10,"CD8+, alpha-beta T cell",1
10,"CD8+, alpha-beta cytotoxic T cell",1
10,"CD8+, alpha-beta mem. T cell",1
10,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
10,NK cell,1
10,T cell,1
10,T follicular helper cell,1
10,T-helper 17 cell,1
10,T-helper 22 cell,1
10,"activated CD4+, alpha-beta T cell",1
10,"activated CD8+, alpha-beta T cell",1
10,alpha-beta T cell,1
10,amacrine cell,1
10,astrocyte of the cerebral cortex,1
10,"central mem. CD4+, alpha-beta T cell",1
10,"central mem. CD8+, alpha-beta T cell",1
10,double negative T regulatory cell,1
10,"effector CD8+, alpha-beta T cell",1
10,"effector mem. CD4+, alpha-beta T cell",1
10,"effector mem. CD8+, alpha-beta T cell",1
10,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
10,exhausted T cell,1
10,gamma-delta T cell,1
10,innate lymphoid cell,1
10,intraepithelial lymphocyte,1
10,kidney interstitial fibroblast,1
10,leukocyte,1
10,lymphocyte,1
10,lymphoid lineage restricted progenitor cell,1
10,mature NK T cell,1
10,mature T cell,1
10,mature alpha-beta T cell,1
10,mature gamma-delta T cell,1
10,mem. T cell,1
10,mucosal invariant T cell,1
10,naive T cell,1
10,"naive thym.-der. CD4+, alpha-beta T cell",1
10,"naive thym.-der. CD8+, alpha-beta T cell",1
10,platelet,1
10,regulatory T cell,1
10,renal interstitial pericyte,1
10,sncg GABAergic cortical interneuron,1
10,CD14+ monocyte,2
10,"CD14+, CD16+ monocyte",2
10,"CD14+, CD16- clas. monocyte",2
10,"CD14-low, CD16+ monocyte",2
10,CD1c+ myeloid dendritic cell,2
10,L2/3-6 IT projecting neuron,2
10,alternatively activated macrophage,2
10,alveolar macrophage,2
10,clas. monocyte,2
10,conventional dendritic cell,2
10,dendritic cell,2
10,elicited macrophage,2
10,fallopian tube secretory epith. cell,2
10,granulocyte,2
10,inflammatory macrophage,2
10,intermediate monocyte,2
10,lung macrophage,2
10,macrophage,2
10,microglial cell,2
10,monocyte,2
10,neuron,2
10,neutrophil,2
10,non-classical monocyte,2
10,oligodendrocyte pre. cell,2
10,plasmacytoid dendritic cell,2
10,promonocyte,2
10,sst GABAergic cortical interneuron,2
10,B cell,3
10,IgA plasma cell,3
10,IgG plasma cell,3
10,class switched mem. B cell,3
10,ependymal cell,3
10,erythroblast,3
10,erythrocyte,3
10,hematopoietic stem cell,3
10,immature B cell,3
10,immature innate lymphoid cell,3
10,mast cell,3
10,mature B cell,3
10,megakaryocyte-erythroid progenitor cell,3
10,mem. B cell,3
10,naive B cell,3
10,plasma cell,3
10,plasmablast,3
10,pre. B cell,3
10,pro-B cell,3
10,transitional stage B cell,3
